name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"errors","ratio"
"BM_do_with_expected/1024_stddev",25,19.0713,19.2033,ns,,,,,,0,0
"BM_do_with_expected/512_mean",25,94.6267,94.308,ns,,,,,,17500,512
"BM_do_with_expected/512_median",25,92.2291,92.4247,ns,,,,,,17500,512
"BM_do_with_expected/512_stddev",25,11.7385,11.643,ns,,,,,,0,0
"BM_do_with_expected/256_mean",25,96.1607,96.1304,ns,,,,,,26133,256
"BM_do_with_expected/256_median",25,94.2897,93.4212,ns,,,,,,26133,256
"BM_do_with_expected/256_stddev",25,11.3723,11.1943,ns,,,,,,0,0
"BM_do_with_expected/128_mean",25,97.2244,96.5402,ns,,,,,,70000,128
"BM_do_with_expected/128_median",25,96.6874,95.9124,ns,,,,,,70000,128
"BM_do_with_expected/128_stddev",25,12.5799,12.2576,ns,,,,,,0,0
"BM_do_with_expected/64_mean",25,87.9256,87.6116,ns,,,,,,140000,64
"BM_do_with_expected/64_median",25,85.5526,85.4492,ns,,,,,,140000,64
"BM_do_with_expected/64_stddev",25,9.16081,8.45788,ns,,,,,,0,0
"BM_do_with_expected/16_mean",25,99.0999,98.6886,ns,,,,,,466666,16
"BM_do_with_expected/16_median",25,96.4165,94.1685,ns,,,,,,466666,16
"BM_do_with_expected/16_stddev",25,14.7635,14.8793,ns,,,,,,0,0
"BM_do_with_expected/8_mean",25,96.0779,95.6473,ns,,,,,,1.4e+06,8
"BM_do_with_expected/8_median",25,94.4166,93.471,ns,,,,,,1.4e+06,8
"BM_do_with_expected/8_stddev",25,14.4955,14.7482,ns,,,,,,0,0
"BM_do_with_expected/4_mean",25,77.7716,77.4554,ns,,,,,,2.8e+06,4
"BM_do_with_expected/4_median",25,77.4128,78.125,ns,,,,,,2.8e+06,4
"BM_do_with_expected/4_stddev",25,8.00817,7.63187,ns,,,,,,0,0
"BM_do_with_expected/2_mean",25,58.9329,58.875,ns,,,,,,5e+06,2
"BM_do_with_expected/2_median",25,55.4882,54.6875,ns,,,,,,5e+06,2
"BM_do_with_expected/2_stddev",25,11.2222,11.2558,ns,,,,,,0,0
